"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,Inf,0.998,0.794,0,"DMSO_1","ENSG00000130513"
"2",0,Inf,1,1,0,"DMSO_1","ENSG00000137818"
"3",0,Inf,1,1,0,"DMSO_1","ENSG00000140988"
"4",0,Inf,1,1,0,"DMSO_1","ENSG00000156508"
"5",0,Inf,1,1,0,"DMSO_1","ENSG00000198886"
"6",0,Inf,1,1,0,"DMSO_1","ENSG00000229117"
"7",0,Inf,1,1,0,"DMSO_1","ENSG00000231500"
"8",2.2514050199543e-277,Inf,0.986,0.85,4.15204113779972e-273,"DMSO_1","ENSG00000125148"
"9",0,881.520369328936,1,0.994,0,"DMSO_1","ENSG00000245532"
"10",0,528.037271269031,0.947,0.538,0,"DMSO_1","ENSG00000187193"
"11",0,439.922301801936,1,1,0,"DMSO_1","ENSG00000142541"
"12",1.41587057227633e-57,422.746902849633,1,1,2.611148509392e-53,"DMSO_1","ENSG00000111640"
"13",0,414.090757922249,1,1,0,"DMSO_1","ENSG00000148303"
"14",0,385.505727662884,1,1,0,"DMSO_1","ENSG00000142937"
"15",0,372.252601739443,1,1,0,"DMSO_1","ENSG00000186468"
"16",0,366.481821414224,1,1,0,"DMSO_1","ENSG00000144713"
"17",0,353.567662927995,1,1,0,"DMSO_1","ENSG00000138326"
"18",0,353.497566207904,1,1,0,"DMSO_1","ENSG00000137154"
"19",0,347.719914191053,1,1,0,"DMSO_1","ENSG00000164587"
"20",0,340.244468557837,1,1,0,"DMSO_1","ENSG00000105640"
"21",0,334.133798442015,0.733,0,0,"DMSO_1","ENSG00000142515"
"22",0,329.401769506731,1,1,0,"DMSO_1","ENSG00000105193"
"23",0,327.712170622983,1,1,0,"DMSO_1","ENSG00000133112"
"24",0,323.200725951215,1,1,0,"DMSO_1","ENSG00000147403"
"25",0,298.665457648188,1,1,0,"DMSO_1","ENSG00000177600"
"26",0,284.246880420961,1,1,0,"DMSO_1","ENSG00000109475"
"27",0,283.452599956315,1,1,0,"DMSO_1","ENSG00000115268"
"28",0,282.807067470977,1,1,0,"DMSO_1","ENSG00000233927"
"29",3.06156010135837e-133,278.477424070716,0.991,0.899,5.64612913892511e-129,"DMSO_1","ENSG00000197061"
"30",0,275.408881993413,1,1,0,"DMSO_1","ENSG00000108298"
"31",0,274.332433216089,1,1,0,"DMSO_1","ENSG00000177954"
"32",0,255.394300089156,1,1,0,"DMSO_1","ENSG00000118181"
"33",0,251.116814716671,1,1,0,"DMSO_1","ENSG00000197756"
"34",0,250.615574569296,1,1,0,"DMSO_1","ENSG00000198242"
"35",0,246.285248294767,1,1,0,"DMSO_1","ENSG00000149273"
"36",0,245.32150923716,1,1,0,"DMSO_1","ENSG00000110700"
"37",0,239.524658147693,1,1,0,"DMSO_1","ENSG00000197958"
"38",4.75763760728102e-146,238.223366319096,0.301,0.051,8.77403527534765e-142,"DMSO_1","ENSG00000163993"
"39",0,235.169912856786,1,1,0,"DMSO_1","ENSG00000161970"
"40",0,233.754057044336,1,1,0,"DMSO_1","ENSG00000145592"
"41",0,232.763123857096,1,1,0,"DMSO_1","ENSG00000174748"
"42",0,230.868309862951,1,1,0,"DMSO_1","ENSG00000198918"
"43",0,225.09818993351,1,1,0,"DMSO_1","ENSG00000161016"
"44",0,223.478496556992,1,1,0,"DMSO_1","ENSG00000136942"
"45",0,217.884250093758,1,1,0,"DMSO_1","ENSG00000162244"
"46",0,217.884229103381,1,1,0,"DMSO_1","ENSG00000163682"
"47",0,212.113452200771,1,1,0,"DMSO_1","ENSG00000145425"
"48",0,210.10582046288,1,1,0,"DMSO_1","ENSG00000173812"
"49",0,208.933237303128,1,1,0,"DMSO_1","ENSG00000131469"
"50",0,208.602227444126,1,1,0,"DMSO_1","ENSG00000156482"
"51",0,207.784883197533,1,1,0,"DMSO_1","ENSG00000182899"
"52",0,207.333425988703,1,1,0,"DMSO_1","ENSG00000198763"
"53",1.77474060638614e-196,206.365116632649,0.992,0.96,3.27297662629731e-192,"DMSO_1","ENSG00000102144"
"54",0,196.243806750989,1,1,0,"DMSO_1","ENSG00000112306"
"55",0,193.358016061188,1,0.998,0,"DMSO_1","ENSG00000187109"
"56",0,187.76105344775,1,1,0,"DMSO_1","ENSG00000147604"
"57",0,187.587636668007,1,1,0,"DMSO_1","ENSG00000198888"
"58",0,187.587636505655,1,1,0,"DMSO_1","ENSG00000167526"
"59",0,186.144943507508,1,1,0,"DMSO_1","ENSG00000168028"
"60",0,185.961823215059,1,1,0,"DMSO_1","ENSG00000213741"
"61",0,183.18820414232,1,1,0,"DMSO_1","ENSG00000142534"
"62",1.66699635473846e-86,180.281329677794,0.71,0.526,3.07427467740866e-82,"DMSO_1","ENSG00000123975"
"63",0,177.509371560478,1,1,0,"DMSO_1","ENSG00000166441"
"64",0,176.049540625342,1,1,0,"DMSO_1","ENSG00000125691"
"65",0,171.333543186844,1,1,0,"DMSO_1","ENSG00000089009"
"66",0,168.223868740878,0.761,0,0,"DMSO_1","ENSG00000198300"
"67",2.80834899667007e-174,167.386325409684,0.999,0.999,5.17915721965894e-170,"DMSO_1","ENSG00000164032"
"68",1.16088128773466e-222,165.945673812605,0.988,0.936,2.14089727084026e-218,"DMSO_1","ENSG00000134333"
"69",0,164.895391064268,0.88,0.001,0,"DMSO_1","ENSG00000167751"
"70",0,162.606351362441,1,1,0,"DMSO_1","ENSG00000122406"
"71",0,161.619125769654,1,1,0,"DMSO_1","ENSG00000105372"
"72",0,152.952543822792,1,1,0,"DMSO_1","ENSG00000149806"
"73",0,151.599587406859,1,1,0,"DMSO_1","ENSG00000089157"
"74",0,147.254035276152,1,1,0,"DMSO_1","ENSG00000171858"
"75",5.02546781087923e-174,145.547381281878,0.804,0.51,9.26796773682348e-170,"DMSO_1","ENSG00000144485"
"76",0,144.930326474821,0.99,0.483,0,"DMSO_1","ENSG00000133639"
"77",0,141.873336117938,1,1,0,"DMSO_1","ENSG00000204628"
"78",1.25422022656321e-318,139.891286639493,0.564,0.099,2.31303294182788e-314,"DMSO_1","ENSG00000100292"
"79",0,139.00713587498,1,1,0,"DMSO_1","ENSG00000083845"
"80",0,138.342775138581,1,1,0,"DMSO_1","ENSG00000196531"
"81",0,137.272914518003,1,1,0,"DMSO_1","ENSG00000100316"
"82",0,137.093826971634,1,1,0,"DMSO_1","ENSG00000130255"
"83",0,135.657482470858,1,1,0,"DMSO_1","ENSG00000198755"
"84",0,131.322529911006,1,1,0,"DMSO_1","ENSG00000143947"
"85",1.14050724602796e-154,131.317028870493,0.981,0.976,2.10332346312476e-150,"DMSO_1","ENSG00000115758"
"86",0,131.309301596804,1,1,0,"DMSO_1","ENSG00000170889"
"87",0,131.075790376042,1,1,0,"DMSO_1","ENSG00000184009"
"88",1.63886793078998e-55,130.568792163257,0.405,0.391,3.02240023796288e-51,"DMSO_1","ENSG00000117724"
"89",0,125.735318153532,1,1,0,"DMSO_1","ENSG00000063177"
"90",2.45884115421813e-198,124.107118911583,0.996,0.993,4.53459485660908e-194,"DMSO_1","ENSG00000074800"
"91",0,122.66635966847,1,1,0,"DMSO_1","ENSG00000171863"
"92",5.78726809881106e-86,122.525086423571,0.999,1,1.06728798278274e-81,"DMSO_1","ENSG00000096384"
"93",6.74286625321926e-83,120.692664104503,0.932,0.9,1.2435193944187e-78,"DMSO_1","ENSG00000108106"
"94",0,118.907257448973,0.991,0.809,0,"DMSO_1","ENSG00000265972"
"95",0,118.341911544941,1,1,0,"DMSO_1","ENSG00000188846"
"96",0,116.895098887845,1,1,0,"DMSO_1","ENSG00000114391"
"97",1.07786707379749e-292,115.393253133455,0.992,0.912,1.98780245749733e-288,"DMSO_1","ENSG00000176171"
"98",0,115.338542903621,1,1,0,"DMSO_1","ENSG00000140264"
"99",0.00179613513826652,114.009694925641,1,0.999,1,"DMSO_1","ENSG00000166165"
"100",0,112.35299929701,0.999,0.926,0,"DMSO_1","ENSG00000051620"
"101",0,110.543053260693,1,1,0,"DMSO_1","ENSG00000181163"
"102",0,110.153369595131,1,1,0,"DMSO_1","ENSG00000134419"
"103",0,108.874325331837,1,1,0,"DMSO_1","ENSG00000127184"
"104",0,108.438508676648,1,1,0,"DMSO_1","ENSG00000108107"
"105",1.27688162717178e-25,108.056196710537,0.607,0.598,2.3548250968302e-21,"DMSO_1","ENSG00000131711"
"106",0,105.383894386921,1,1,0,"DMSO_1","ENSG00000187514"
"107",0,105.353841003449,1,1,0,"DMSO_1","ENSG00000142676"
"108",0,103.890091362212,1,0.699,0,"DMSO_1","ENSG00000196586"
"109",0,103.855674148912,1,0.988,0,"DMSO_1","ENSG00000069275"
"110",1.23284691689704e-19,98.1390298106796,0.915,0.972,2.27361628414152e-15,"DMSO_1","ENSG00000123416"
"111",0,96.7679456608685,1,1,0,"DMSO_1","ENSG00000198840"
"112",0,96.6983995287282,1,1,0,"DMSO_1","ENSG00000198034"
"113",0,95.6501562098045,1,1,0,"DMSO_1","ENSG00000172809"
"114",0,95.2833615125794,1,1,0,"DMSO_1","ENSG00000221983"
"115",0,95.2564689155132,1,1,0,"DMSO_1","ENSG00000122026"
"116",6.10506803409842e-27,93.7823162412606,0.91,0.95,1.12589664684843e-22,"DMSO_1","ENSG00000181019"
"117",5.43322266432822e-10,92.3690974575179,0.952,0.983,1.00199492375541e-05,"DMSO_1","ENSG00000143153"
"118",0,92.3290820964895,0.982,0.872,0,"DMSO_1","ENSG00000168209"
"119",2.80848089813662e-53,92.2567112299742,0.866,0.836,5.17940047234355e-49,"DMSO_1","ENSG00000188229"
"120",0,91.388250770001,0.999,0.908,0,"DMSO_1","ENSG00000143158"
"121",0,90.9271284375086,1,1,0,"DMSO_1","ENSG00000167658"
"122",0,89.4156354460656,0.999,0.98,0,"DMSO_1","ENSG00000159182"
"123",0,86.2093810728958,1,1,0,"DMSO_1","ENSG00000174444"
"124",0,85.4353752856732,1,1,0,"DMSO_1","ENSG00000065978"
"125",0,84.8932978532046,0.94,0.496,0,"DMSO_1","ENSG00000187837"
"126",1.41306243229389e-144,83.9938662488049,0.262,0.036,2.60596973763639e-140,"DMSO_1","ENSG00000125144"
"127",0,83.6433259555318,1,1,0,"DMSO_1","ENSG00000118816"
